code,name,price,date
sh600161,天坛生物,12.18,2024-03-15
sh600162,香江控股,2.5,2024-03-15
sh600163,中闽能源,5.13,2024-03-15
sh600165,ST宁科,2.89,2024-03-15
sh600166,福田汽车,3.12,2024-03-15
sh600167,联美控股,5.81,2024-03-15
sh600168,武汉控股,4.19,2024-03-15
sh600169,ST太重,2.07,2024-03-15
sh600170,上海建工,2.24,2024-03-15
sh600171,上海贝岭,28.83,2024-03-15
sh600172,黄河旋风,16.86,2024-03-15
sh600173,卧龙新能,6.16,2024-03-15
sh600176,中国巨石,70.9,2024-03-15
sh600177,雅戈尔,7.83,2024-03-15
sh600178,东安动力,10.02,2024-03-15
sh600179,安通控股,4.59,2024-03-15
sh600180,*ST瑞茂,1.4,2024-03-15
sh600182,S佳通,14.71,2024-03-15
sh600183,生益科技,160.78,2024-03-15
sh600184,光电股份,25.83,2024-03-15
sh600185,珠免集团,4.58,2024-03-15
sh600186,莲花控股,11.82,2024-03-15
sh600187,*ST国中,1.47,2024-03-15
sh600188,兖矿能源,17.8,2024-03-15
sh600189,泉阳泉,7.79,2024-03-15
sh600191,华资实业,9.19,2024-03-15
sh600192,长城电工,6.61,2024-03-15
sh600193,退市创兴,0.16,2024-03-15
sh600195,中牧股份,6.25,2024-03-15
sh600196,复星医药,23.29,2024-03-15
sh600197,伊力特,10.02,2024-03-15
sh600198,大唐电信,9.07,2024-03-15
sh600199,金种子酒,6.6,2024-03-15
sh600201,生物股份,12.31,2024-03-15
sh600202,哈空调,4.75,2024-03-15
sh600203,福日电子,12.82,2024-03-15
sh600206,有研新材,54.3,2024-03-15
sh600207,安彩高科,5.03,2024-03-15
sh600208,衢州发展,2.96,2024-03-15
sh600210,紫江企业,6.29,2024-03-15
sh600211,西藏药业,38.78,2024-03-15
sh600212,绿能慧充,5.53,2024-03-15
sh600215,派斯林,6.25,2024-03-15
sh600216,浙江医药,12.29,2024-03-15
sh600217,中再资环,2.98,2024-03-15
sh600218,全柴动力,7.51,2024-03-15
sh600219,南山铝业,4.17,2024-03-15
sh600221,海航控股,1.37,2024-03-15
sh600222,太龙药业,7.91,2024-03-15
sh600223,福瑞达,5.32,2024-03-15
sh600226,亨通股份,9.2,2024-03-15
sh600227,赤天化,2.49,2024-03-15
sh600228,返利科技,7.21,2024-03-15
sh600229,城市传媒,4.8,2024-03-15
sh600230,沧州大化,13.67,2024-03-15
sh600231,凌钢股份,1.61,2024-03-15
sh600232,金鹰股份,6.45,2024-03-15
sh600233,圆通速递,17.2,2024-03-15
sh600234,科新发展,26.03,2024-03-15
sh600235,民丰特纸,5.27,2024-03-15
sh600236,桂冠电力,9.54,2024-03-15
sh600237,铜峰电子,11.81,2024-03-15
sh600238,*ST椰岛,4.81,2024-03-15
sh600239,ST云城,1.45,2024-03-15
sh600241,时代万恒,6.74,2024-03-15
sh600243,*ST海华,3.64,2024-03-15
sh600246,万通发展,15.37,2024-03-15
sh600248,陕建股份,2.77,2024-03-15
sh600249,两面针,4.67,2024-03-15
sh600250,南京商旅,8.1,2024-03-15
sh600251,冠农股份,8.92,2024-03-15
sh600252,中恒集团,1.93,2024-03-15
sh600255,鑫科材料,3.33,2024-03-15
sh600256,广汇能源,5.18,2024-03-15
sh600257,大湖股份,4.57,2024-03-15
sh600258,首旅酒店,11.53,2024-03-15
sh600259,中稀有色,102.26,2024-03-15
sh600261,阳光照明,3.08,2024-03-15
sh600262,北方股份,21.19,2024-03-15
sh600265,*ST景谷,24.1,2024-03-15
sh600266,城建发展,4.06,2024-03-15
sh600267,海正药业,10.53,2024-03-15
sh600268,国电南自,11.73,2024-03-15
sh600269,赣粤高速,4.2,2024-03-15
sh600271,航天信息,6.76,2024-03-15
sh600272,开开实业,11.12,2024-03-15
sh600273,嘉化能源,6.7,2024-03-15
sh600276,恒瑞医药,54.45,2024-03-15
sh600278,东方创业,6.18,2024-03-15
sh600279,重庆港,3.95,2024-03-15
sh600280,中央商场,2.77,2024-03-15
sh600281,华阳新材,4.18,2024-03-15
sh600282,南钢股份,4.7,2024-03-15
sh600283,钱江水利,8.16,2024-03-15
sh600284,浦东建设,5.02,2024-03-15
sh600285,羚锐制药,20.73,2024-03-15
sh600287,苏豪时尚,4.63,2024-03-15
sh600288,大恒科技,12.85,2024-03-15
sh600289,ST信通,5.84,2024-03-15
sh600292,电投水电,12.48,2024-03-15
sh600293,三峡新材,2.7,2024-03-15
sh600295,鄂尔多斯,11.65,2024-03-15
sh600298,安琪酵母,37.12,2024-03-15
sh600299,安迪苏,8.47,2024-03-15
sh600300,维维股份,2.93,2024-03-15
sh600301,华锡有色,61.89,2024-03-15
sh600302,ST标准,8.42,2024-03-15
sh600303,曙光股份,2.59,2024-03-15
sh600305,恒顺醋业,6.52,2024-03-15
sh600307,酒钢宏兴,1.41,2024-03-15
sh600308,华泰股份,3.14,2024-03-15
sh600309,万华化学,69.18,2024-03-15
sh600310,广西能源,4.07,2024-03-15
sh600312,平高电气,17.69,2024-03-15
sh600313,农发种业,5.37,2024-03-15
sh600315,上海家化,17.45,2024-03-15
sh600316,洪都航空,29.24,2024-03-15
sh600318,新力金融,6.36,2024-03-15
sh600319,亚星化学,6.48,2024-03-15
sh600320,振华重工,4.22,2024-03-15
sh600322,津投城开,3.07,2024-03-15
sh600323,瀚蓝环境,28.31,2024-03-15
sh600325,华发股份,2.36,2024-03-15
sh600326,西藏天路,6.74,2024-03-15
sh600327,大东方,3.32,2024-03-15
sh600328,中盐化工,6.18,2024-03-15
sh600329,达仁堂,39.97,2024-03-15
sh600330,天通股份,26.28,2024-03-15
sh600331,宏达股份,11.7,2024-03-15
sh600332,白云山,21.19,2024-03-15
sh600333,长春燃气,5.49,2024-03-15
sh600335,国机汽车,4.98,2024-03-15
sh600336,澳柯玛,6.55,2024-03-15
sh600337,ST美克,3.22,2024-03-15
sh600338,西藏珠峰,15.04,2024-03-15
sh600339,中油工程,3.13,2024-03-15
sh600340,*ST华幸,1.22,2024-03-15
sh600343,航天动力,28.02,2024-03-15
sh600345,长江通信,58.88,2024-03-15
sh600346,恒力石化,17.8,2024-03-15
sh600348,华阳股份,8.18,2024-03-15
sh600350,山东高速,11.87,2024-03-15
sh600351,亚宝药业,6.2,2024-03-15
sh600352,XD浙江龙,12.08,2024-03-15
sh600353,旭光电子,44.53,2024-03-15
sh600354,敦煌种业,5.0,2024-03-15
sh600356,恒丰纸业,7.99,2024-03-15
sh600358,国旅联合,5.45,2024-03-15
sh600359,新农开发,5.65,2024-03-15
sh600360,华微电子,14.96,2024-03-15
sh600361,创新新材,3.64,2024-03-15
sh600362,江西铜业,43.28,2024-03-15
sh600363,联创光电,36.81,2024-03-15
sh600365,ST通葡,2.57,2024-03-15
sh600366,宁波韵升,16.83,2024-03-15
sh600367,红星发展,52.98,2024-03-15
sh600368,五洲交通,3.47,2024-03-15
sh600369,西南证券,4.15,2024-03-15
sh600370,*ST三房,1.65,2024-03-15
sh600371,万向德农,6.71,2024-03-15
sh600372,中航机载,11.24,2024-03-15
sh600373,中文传媒,6.73,2024-03-15
sh600375,汉马科技,3.91,2024-03-15
sh600376,首开股份,3.81,2024-03-15
sh600377,宁沪高速,12.01,2024-03-15
sh600378,昊华科技,76.01,2024-03-15
sh600379,宝光股份,15.63,2024-03-15
sh600380,健康元,10.04,2024-03-15
sh600381,*ST春天,5.12,2024-03-15
sh600382,广东明珠,6.68,2024-03-15
sh600383,金地集团,2.19,2024-03-15
sh600386,北巴传媒,3.28,2024-03-15
sh600388,龙净环保,15.51,2024-03-15
sh600389,江山股份,19.67,2024-03-15
sh600390,五矿资本,4.78,2024-03-15
sh600391,航发科技,35.52,2024-03-15
sh600392,盛和资源,28.95,2024-03-15
sh600395,盘江股份,4.7,2024-03-15
sh600396,华电辽能,13.2,2024-03-15
sh600397,江钨装备,25.65,2024-03-15
sh600398,海澜之家,5.56,2024-03-15
sh600399,抚顺特钢,4.24,2024-03-15
sh600400,红豆股份,3.46,2024-03-15
sh600403,大有能源,5.34,2024-03-15
sh600405,动力源,4.61,2024-03-15
sh600406,国电南瑞,22.89,2024-03-15
sh600408,安泰集团,2.52,2024-03-15
sh600409,三友化工,6.3,2024-03-15
sh600410,华胜天成,15.49,2024-03-15
sh600415,小商品城,10.62,2024-03-15
sh600416,湘电股份,9.95,2024-03-15
sh600418,江淮汽车,26.19,2024-03-15
sh600419,天润乳业,8.0,2024-03-15
sh600420,国药现代,8.92,2024-03-15
sh600422,昆药集团,8.27,2024-03-15
sh600423,*ST柳化,2.59,2024-03-15
